User-ID,Location,Age
183,"porto, porto, portugal",27.0
243,"arden hills, minnesota, usa",32.0
254,"minneapolis, minnesota, usa",24.0
382,"kansas city, kansas, usa",32.0
643,"grenoble, rhone-alpes, france",23.0
809,"commack, new york, usa",36.0
876,"hanover, massachusetts, usa",33.0
914,"griesheim, hessen, germany",51.0
1025,"maidstone, england, united kingdom",33.0
1129,"bothell, washington, usa",53.0
1211,"rennes, bretagne, france",22.0
1409,"farmington hills, michigan, usa",74.0
1424,"north avoca, new south wales, australia",32.0
2033,"omaha, nebraska, usa",27.0
2087,"austin, texas, usa",32.0
2276,"niskayuna, new york, usa",46.0
2552,"frankenthal, rheinland-pfalz, alderney",32.0
2655,"firenze, toscana, italy",32.0
2688,"herbolzheim, baden-wuerttemberg, germany",16.0
2769,"gorizia, friuli venezia giulia, italy",27.0
3346,"tehran, tehran, iran",20.0
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
3373,"elk grove, california, usa",30.0
3462,"amherst, new york, usa",32.0
3605,"bristol, rhode island, usa",28.0
3757,"madrid, madrid, spain",32.0
3816,"roma, lazio, italy",33.0
3821,"scottdale, pennsylvania, usa",36.0
3840,"meriden, connecticut, usa",46.0
4017,"new orleans, louisiana, usa",48.0
4285,"adrian, michigan, usa",50.0
4385,"albq, new mexico, usa",33.0
4571,"melbourne, victoria, australia",23.0
4591,"salzburg, salzburg, austria",21.0
4785,"litchfield, connecticut, usa",30.0
4896,"ploiesti, prahova, romania",18.0
4970,"olympia, washington, usa",18.0
5903,"vienna, vienna, austria",25.0
6148,"hamburg, hamburg, germany",32.0
6153,"bronx, new york, usa",32.0
6242,"calgary, alberta, canada",32.0
6251,"wahiawa, hawaii, usa",32.0
6318,"ann arbor, michigan, usa",24.0
6389,"phoenix, arizona, usa",32.0
6532,"new westminster, british columbia, canada",32.0
6543,"strafford, missouri, usa",34.0
6575,"seattle, washington, usa",32.0
6703,"cadiz, andalucia, spain",24.0
6772,"calgary, ,",32.0
6789,"boise, idaho, usa",32.0
6866,"paris, ile de france, france",51.0
7105,"chertsey, england, united kingdom",32.0
7107,"chester, pennsylvania, usa",32.0
7158,"omaha, nebraska, usa",30.0
7181,"oviedo, asturias, spain",24.0
7283,"saint marys, georgia, usa",30.0
7325,"north adams, massachusetts, usa",17.0
7346,"sunnyvale, california, usa",49.0
7454,"toronto, ontario, canada",29.0
7528,"arlington heights, illinois, usa",32.0
7569,"tulsa, , usa",22.0
7898,"washington, dc, usa",20.0
8027,"burlington, vermont, usa",32.0
8245,"torrance, california, usa",31.0
8292,"minneapolis, minnesota, usa",32.0
8681,"orlando, florida, usa",34.0
8782,"calgary, alberta, canada",32.0
8936,"elizabeth city, north carolina, usa",18.0
9029,"gavà, barcelona, spain",32.0
9138,"darien, connecticut, usa",32.0
9502,"chillicothe, ohio, usa",22.0
9856,"glendale, colorado, usa",22.0
10030,"pittsburgh, pennsylvania, usa",66.0
10447,"chicago, illinois, usa",32.0
10497,"rijswijk, zuid-holland, netherlands",46.0
10819,"richmond, kentucky, usa",27.0
11149,"hilversum, n-holland, netherlands",32.0
11393,"mississauga, ontario, canada",73.0
11462,"kingston, ontario, canada",32.0
11601,"brooklyn, new york, usa",32.0
11629,"houston, texas, usa",21.0
11638,"seattle, washington, usa",32.0
11645,"fremont, california, usa",32.0
11676,"n/a, n/a, n/a",32.0
11847,"jamestown, rhode island, usa",32.0
11993,"lakewood, colorado, usa",37.0
12110,"dracut, massachusetts, usa",43.0
12122,"cooks hill, new south wales, australia",26.0
12154,"pittsburgh, pennsylvania, usa",41.0
12272,"ploiesti, prahova, romania",18.0
12538,"byron, minnesota, usa",18.0
12569,"selangor, subang jaya, malaysia",22.0
12657,"bremen, bremen, germany",48.0
12982,"getxo, vizcaya, spain",41.0
13082,"bellwood, pennsylvania, usa",32.0
13093,"zaragoza, aragon, spain",29.0
13104,"marysville, washington, usa",25.0
13268,"winnipeg, manitoba, canada",32.0
13273,"harrisburg, pennsylvania, usa",32.0
13552,"cordova, tennessee, usa",32.0
13582,"lisboa, lisboa, portugal",29.0
13600,"athens, athens, greece",32.0
13690,"gijón, asturias, spain",52.0
13915,"arnprior, ontario, canada",32.0
14201,"houston, texas, usa",44.0
14357,"wine country, oregon, usa",45.0
14374,"porter, maine, usa",57.0
14521,"providence, rhode island, usa",32.0
14638,"roquemaure, languedoc roussillon, france",33.0
14897,"shiki, saitama, japan",24.0
14958,"lezo, euskadi, spain",39.0
15049,"benbrook, texas, usa",28.0
15076,"gallatin, missouri, usa",23.0
15208,"woodside, new york, usa",32.0
15670,"round rock, texas, usa",32.0
16090,"kennett square, pennsylvania, usa",32.0
16190,"san jose, california, usa",32.0
16488,"milwaukee, wisconsin, usa",36.0
16634,"little rock, arkansas, usa",42.0
16795,"mechanicsville, maryland, usa",47.0
16798,"orangeburg, south carolina, usa",32.0
16854,"chertsey, england, united kingdom",32.0
16916,"hackettstown, new jersey, usa",53.0
17051,"st. louis, missouri, usa",32.0
17183,"zaragoza, zaragoza, spain",23.0
17190,"woodstock, georgia, usa",31.0
17726,"ottawa, ontario, canada",33.0
17761,"pinckney, michigan, usa",32.0
17926,"honolulu, hawaii, usa",32.0
17950,"puchong, selangor, malaysia",32.0
18172,"levittown, pennsylvania, usa",36.0
18310,"aurora, colorado, usa",23.0
18384,"palma de mallorca, baleares, spain",37.0
18401,"chicago, illinois,",32.0
19019,"edmonton, ,",38.0
19022,"cottage grove, oregon, usa",32.0
19038,"minneapolis, minnesota, usa",30.0
19085,"menomonie, wisconsin, usa",60.0
19238,"stockton-on-tees, england, united kingdom",34.0
19286,"london, england, united kingdom",32.0
19484,"charleston, west virginia, usa",55.0
19638,"winnipeg, manitoba, canada",42.0
19695,"reno, nevada, usa",32.0
19711,"katy, texas, usa",32.0
20062,"wieselburg, niederoesterreich, austria",25.0
20115,"lansdale, pennsylvania, usa",32.0
20149,"omaha, nebraska, usa",53.0
20172,"saratoga springs, utah, usa",27.0
20201,"grove city, ohio, usa",31.0
20409,"livermore, california, usa",51.0
20462,"bossier city, louisiana, usa",32.0
20688,"gavà, barcelona (catalunya), spain",32.0
20745,"mönchengladbach, nordrhein-westfalen, germany",32.0
20871,"laives (bz), trentino alto adige, italy",32.0
21014,"fresno, california, usa",32.0
21364,"san diego, california, usa",32.0
21397,"manchester, england, united kingdom",25.0
21576,"memphis, tennessee, usa",31.0
21684,"austin, minnesota, usa",37.0
22134,"vitoria-gasteiz, euskadi, spain",34.0
22625,"lynbrook, new york, usa",54.0
23038,"bosque, new mexico, usa",27.0
23595,"collinsville, illinois, usa",45.0
23631,"macon, georgia, usa",57.0
23664,"exeter, new hampshire, usa",32.0
23680,"carmichael, ,",32.0
23768,"st. louis, missouri, usa",45.0
23872,"tulsa, oklahoma, usa",22.0
23902,"london, england, united kingdom",32.0
24167,"leonardtown, maryland, usa",32.0
24186,"vineland, new jersey, usa",36.0
24283,"wien, wien, austria",27.0
24440,"lisboa, lisboa, portugal",35.0
24624,"decatur, georgia, usa",38.0
24641,"chico, california, usa",32.0
24733,"oswego, new york, usa",32.0
24767,"san diego, california, usa",28.0
24835,"san francisco, california, usa",51.0
24921,"higley, arizona, usa",29.0
25105,"vancouver, british columbia, canada",62.0
25292,"elkview, west virginia, usa",23.0
25395,"moyock, north carolina, usa",65.0
25409,"la mesa, california, usa",31.0
25436,"chambery, savoie, france",30.0
25533,"derby, derbyshire, united kingdom",38.0
25601,"gilbert, arizona, usa",41.0
25636,"lincolnshire, england, united kingdom",48.0
25895,"smyrna, georgia, usa",32.0
25981,"nj, new jersey, usa",32.0
26371,"vancouver, british columbia, canada",65.0
26535,"hickory, mississippi, usa",41.0
26544,"woodbridge, virginia, usa",37.0
26583,"dollard des ormeaux, quebec, canada",32.0
26883,"vienna, vienna, austria",32.0
26898,"barcelona, barcelona, spain",40.0
27169,"catlettsburg, kentucky, usa",32.0
27425,"garland, texas, usa",32.0
27551,"apache junction, arizona, usa",56.0
27617,"beaverton, ontario, canada",32.0
27647,"lisboa, lisboa, portugal",32.0
27649,"riva, maryland, usa",58.0
27813,"boerne, texas, usa",34.0
27826,"des moines, iowa, usa",50.0
28177,"grand rapids, michigan, usa",26.0
28360,"oakwood, georgia, usa",15.0
28523,"springfield, missouri, usa",24.0
28709,"sewell, new jersey, usa",32.0
28735,"hannover, niedersachsen, germany",58.0
28993,"nottingham, england, united kingdom",48.0
29117,"lugano, ticino, switzerland",32.0
29209,"boca raton, florida, usa",32.0
29259,"mt. airy, , usa",39.0
29358,"reykjavik, reykjavik, iceland",37.0
29519,"malmoe, nja, sweden",59.0
29743,"la mirada, california, usa",22.0
29795,"london, ,",27.0
29806,"bonita springs, florida, usa",32.0
29855,"morris, connecticut, usa",53.0
30246,"reading, ,",32.0
30261,"manchester, missouri, usa",27.0
30273,"naples, florida, usa",25.0
30276,"wildwood, new jersey, usa",49.0
30385,"brighton & hove, england, united kingdom",31.0
30426,"st. louis, missouri, usa",32.0
30445,"kuala lumpur, ,",23.0
30462,"amesbury, massachusetts, usa",30.0
30487,"newbury park, california, usa",40.0
30511,"culemborg, gelderland, netherlands",32.0
30533,"charleston, south carolina, usa",32.0
30569,"greenville, south carolina, usa",18.0
30642,"omaha, nebraska, usa",18.0
30711,"sydney, new south wales, australia",32.0
30735,"corvallis, oregon, usa",32.0
30746,"sturgis, kentucky, usa",32.0
30887,"new milford, connecticut, usa",38.0
30889,"martinez, ,",32.0
31005,"san bartolome de lanzarote, islas canarias, spain",53.0
31030,"cape town, western cape, south africa",27.0
31226,"sofia, n/a, bulgaria",33.0
31229,"cascais, cascais, portugal",32.0
31315,"henryville, indiana, usa",34.0
31386,"chicago, illinois, usa",38.0
31551,"spring, texas, usa",32.0
31556,"chula vista, california, usa",51.0
31584,"lowestoft, england, united kingdom",17.0
31826,"jasper, missouri, usa",54.0
31846,"phoenix, , usa",32.0
31874,"burien, washington, usa",46.0
31987,"tacoma, washington, usa",36.0
32195,"fall river, massachusetts, usa",32.0
32300,"burrillville, rhode island, usa",32.0
32329,"pipe creek, texas, usa",30.0
